Commentaire;Pseudo;Catégorie;;Traduction FR
Queen 👑;anaisrogers;Soutiens;🆗;"""Reine 👑"""
🥓;andersonbadan;Grossophobie;🆗;- (référence au bacon, sous-entendu sur le poids).
A mão uma hora pesará sobre todos. Jesus is the king of kings;andhreyfernandes;Religion;🆗;"""Le jugement tombera sur tous. Jésus est le roi des rois."""
Tais Carla da França, vai morrer antes de 40 ctz;andree_guimaraes;Grossophobie, Menace;🔴;Thaís Carla de France, tu mourras avant 40 ans c'est sûr.
Ridículous 😂;andressa_do_bueno;Discrimination (grossophobie);🔴;Ridiculous 😂
Fuck o..;andrzej.aa92;Harcèlement, Vulgarité;🔴;"Insulte incomplète (""Va te faire f..."")"
Tu as été incroyable, merci, je suis de tout coeur avec toi contre les violences suite à cette performance. Courage ♥️;aniklbr;Soutien;🆗;
Le tableau festivité est mon préférée de part sa teneur et off course sa playlist !!! Juste merci pour ce moment de bonheur dans cette cérémonie ❤️❤️;anma92;Soutien;🆗;N/A
Je me demandais même comment retrouver ton set de ce soir là ?!;anma92;Soutien;🆗;N/A
Jesus is king!!!❤️;anmahjones;Religion;🆗;
Forza @barbarabutch 🙌🙌❤️;anne__burger;Soutien;🆗;N/A
C'était génial. Merciiiiii ❤️;annevenerdi;Soutiens;🆗;—
too bad for you;anthony.onyibor;Insulte;🆗;Dommage pour toi.
Christ is King.;antoniobilandzija94;Religion;🆗;-
Dislike 👎;antoniosantana_ofc;Harcèlement;🔴;
Ça insulte les religions et après ça vient pleurer parce qu’il y a des conséquences derrière 🤡;antony.merenciano;Critique;🆗;"""Ça insulte les religions et après ça vient pleurer parce qu’il y a des conséquences."""
Guys, slow down, I can’t like all the comments 🤦🏻;antwnis_epta;Humour, Moquerie;🆗;"""Les gars, ralentissez, je ne peux pas liker tous les commentaires"""
Christ is King.👑;arbi.ll;Religion;🆗;Christ est roi.
💓;ariane.michel;Soutiens;🆗;—
Olahraga apa pernah kamu lakukan?;arie_espe;Grossophobie;🔴;
GOD = JESUS CHRIST - KING OF ALL KINGS!!!!;arki_pao;Religion;🆗;"""DIEU = JÉSUS CHRIST - ROI DE TOUS LES ROIS !!!!"""
@raptorcoachingpro 💪🏼;arndsauvage;Soutien;🆗;N/A
❤️❤️❤️❤️;arthur75france;Soutien;🆗;-
Merci pour tous!;arthurbreur;Soutien;🆗;
Viva Jesucristo Dios único y verdadero Dios Nombre sobre todo nombre ..;artur_ganort;Religion;🆗;"""Vive Jésus-Christ, Dieu unique et véritable, Nom au-dessus de tous les noms."""
😂😂😂😂😂😂;asterob;Moquerie;🆗;
Să se aleagă praful de voi oameni bolnavi la cap. Voi care ati putut gandi la asa ceva meritati sa fi ti facuti sapun;astyuff;Harcèlement, Psychophobie, Discrimination;🔴;
Out!;aubria8789;Insulte;🆗;Dehors !
Do not make fun of the largest religion in the world...;aubria8789;Religion;🆗;Ne te moque pas de la plus grande religion du monde et n'attends pas que les gens t'apprécient.
Bravo pour ce beau moment ! 🔥♥️;audehell;Soutien;🆗;-
Bravo ❤️;audrey_varange;Soutien;🆗;
❤️;audreypusch;Soutien;🆗;N/A
Bravo ♥️👑;aurelien_dn;Soutien;🆗;N/A
Jabba the hut doesnt belong in the olympics;aurosan_;Grossophobie;🔴;Jabba le Hutt n'a pas sa place aux Jeux olympiques
Delete yourself;autistic_veteran;Harcèlement, Incitation au suicide;🔴;"""Supprime-toi."""
Merci pour cette belle cérémonie ! C'était incroyable;axougniac;Soutien;🆗;N/A
God will not be mocked;b1mmerk1d;Religion;🆗;On ne se moque pas de Dieu.
Find a treadmill first! Christ is lord;b3nsont;Grossophobie;🔴;"""Trouve un tapis de course d'abord, Christ est Seigneur."""
Merci pour cette playlist impeccable !...;baby_milk_snatcher;Soutien, Insulte;🆗;"Merci pour cette playlist impeccable ! Il manquait juste un ""muy bien, muy lesbienne""."
À toutes les personnes qui déversent des messages de haine...;babyboyv3;Soutien;🆗;À ceux qui diffusent la haine, ce n'est pas chrétien. L'amour et la tolérance prônés par Jésus étaient dans cette performance.
Jesus is king 👑✝️❤️🙌🏻;bahoz.saman97;Religion;🆗;Jésus est roi.
Oh yeah, the representation of the human pinnacle;baldboy93;Discrimination (grossophobie);🔴;Oh ouais, la représentation du sommet humain
C'était magnifique ✨️💫;basile_dbc;Soutien;🆗;N/A
💩🤡;bdapete;Insulte;🆗;Caca, clown
👑❤️👏👏👏;beatricedididoudou;Soutiens;🆗;👑❤️👏👏👏
J'ai adoré la play liste pour l'ouverture...merci;beatriceguigard;Soutien;🆗;N/A
♥️♥️♥️;becket_fr;Soutien;🆗;-
Grock the destroyer;bedroomsound;Insulte;🆗;Grock le destructeur (référence moqueuse).
Like to Unite people? How bullying Christians?;belkisonly;Critique, Religion;🆗;"""Aimer unir les gens ? Comment maltraiter les chrétiens ?"""
Jesus is King 🙏🏼;bella.lee28;Discrimination (religion);🔴;Jésus est Roi 🙏🏼
🔥👏👑;berenicehours_danse;Soutien;🆗;N/A
Elephang;berkebun_yu_bestie;Harcèlement, Grossophobie;🔴;
Elephant;berkebun_yu_bestie;Harcèlement, Grossophobie;🔴;
You’re amazing. We love you;beto.buenor;Soutien;🆗;Tu es incroyable. Nous t'aimons
👹👹👹👹👹👹👹👹;betoferreira76;Insulte;🆗;-
She represents the sport of how not to train for the Olympics xD;bharath_balram;Harcèlement, Grossophobie;🔴;"""Elle représente le sport de comment ne pas s'entraîner pour les Jeux olympiques."""
♥️ QUEEN ♥️;bibi.beaurivage;Soutien;🆗;
🔥🔥🔥🔥🔥🔥;bidulaeti;Soutien;🆗;N/A
Mais comment je vous ❤️ Madame, vous étiez tellement rayonnante...;bienavant;Soutien;🆗;Je vous adore Madame, vous étiez rayonnante de générosité.
Go to h€!!;biig_creed;Intimidation;🔴;"""Va en enfer !"""
This is satanic. You should at least try to behave like a decent human being to other human beings. You reap what you sow. So please learn from this.;bingedrinker;Religion, Insulte;🔴;"""C'est satanique. Tu devrais au moins essayer de te comporter comme un être humain décent envers les autres. Tu récolteras ce que tu sèmes. Alors apprends de cela."""
De l'amour et de la force face à tous ces bas de plafond !;biotte_75008;Soutien;🆗;De l'amour et de la force face à ces gens étroits d'esprit !
Défendre des minorité en faisant preuve de Christianophobie c'est moche hein !!! Après avoir poster une story en écrivant The new gay testament !! Bravo et après ça hurle à la grossophobie, transphobie au fachisme !! Mais ça insulte des millions de croyant elle est belle la tolérance chez vous 👏👏👏;bladesandbushcraft;Harcèlement, Religion;🆗;N/A
Enfin une Queen qui n’a pas fait tomber sa 👑 mais qui la porte sur sa tête;blairellemoustachue;Soutien;🆗;N/A
Magnifique 🔥❤️;blogrevesetcuriosites;Soutien;🆗;N/A
❤️;bloodysalma;Soutien;🆗;N/A
Merci à toi ♥️♥️♥️♥️♥️♥️;blueskator21;Soutien;🆗;N/A
👑❤️❤️❤️;boaeriii;Soutien;🆗;N/A
4squer0sa por dentro y por fuera!;bonjovic._;Insulte, Grossophobie;🆗;Dégoûtante à l'intérieur et à l'extérieur !
♥️♥️♥️;boulangerie_fradet;Soutien;🆗;N/A
Fue repugnante su blasfemia... Falta de respeto.;brenddally;Religion, Insulte;🆗;Votre blasphème était répugnant, j'espère que vous vous repentirez. Manque de respect.
Have you ever heard of a diet! Why don’t you work on yourself instead of mocking Christ;bridgetporter48;Grossophobie, Religion;🔴;As-tu déjà entendu parler d'un régime ? Pourquoi ne travailles-tu pas sur toi au lieu de te moquer du Christ ?
Ridiculous! They demand respect...;brunadaboitmax;Religion, Insulte;🆗;Ridicule ! Ils exigent du respect mais ne respectent pas les religions des autres.
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕...;bruno.cesar_____;Insulte;🆗;Doigts d'honneur.
Si eu fosse tinha vergonha na cara...;brunodiogocruz;Religion, Insulte;🆗;J'aurais honte, respecte la religion des autres sinon la main de Dieu te punira.
Y’all mocked God and he said LIGHTS OUT!;buckle_up_buttercup1523;Harcèlement, Religion;🔴;
gross;burrowslori2000;Insulte;🆗;Dégoutant
You look horrific;business_motivation_club_;Grossophobie;🔴;
Oh my God, who told you that you could perform you’re the reason why everyone turned off the TV because no one wanted to see your face;business_motivation_club_;Grossophobie;🔴;
Why don’t you go to the gym? Maybe you’ll look not so horrific;business_motivation_club_;Grossophobie;🔴;
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕;business_motivation_club_;Haine;🔴;
🖕🖕🖕🖕🖕🖕🖕🖕;business_motivation_club_;Haine;🔴;
😡😡🖕😡🖕🖕🖕;business_motivation_club_;Haine;🔴;
🙃🤬🤬🤬🤬🤬🤬🤬🤬🤬;business_motivation_club_;Haine;🔴;
sending lots of love and light to you...;butterflygaboo;Soutien;🆗;Je t'envoie beaucoup d'amour et de lumière... Tu es magnifique !
T as oublie de remercier daunat pour les sandwichs;c00100011;Harcèlement, Grossophobie;🔴;
❤️;cabot.roberto;Soutiens;🆗;❤️
Nothing about Love, indecente!...;camilaamar;Religion;🆗;Rien à voir avec l'amour, indécent. Respecte Jésus, Il est le véritable amour.
👑;camille_emmanuelle;Soutien;🆗;N/A
👑❤️;camillecharlotterichard;Soutien;🆗;N/A
Queen 👑🔥👑 félicitations !!;camillelrmn;Soutiens;🆗;Queen 👑🔥👑 congratulations !!
T’es une Queen 👑 ♥️;camouillette.mouillette;Soutiens;🆗;—
We LOVE YOU ♥️👑🔥;capponguillaume;Soutiens;🆗;"""Nous T'AIMONS ♥️👑🔥"""
C’était exceptionnel et en plus ça fait participer les kons 😂😂 il sortent de leur caverne;captainneo57;Soutien;🆗;
Te la mamaste😂😂😂;caresolutions911mx;Insulte, Vulgarité;🆗;Tu es allé(e) trop loin (expression vulgaire).
Félicitations Barbara !...;carla.ottersen;Soutien;🆗;-
Ma che cazzo ti sei magnata.....un ippopotamo sano;carlodimar;Grossophobie;🔴;
NUEVO TESTANMENTO GAY, porque borro la publicacion?;carloschq91;Discrimination (homophobie);🔴;NEW GAY TESTAMENT, why did I delete the post?
Eres m como el🔥🔥🔥;carmenhernandez6893;Insulte;🆗;Tu es m**** comme le feu.
Irrespetuoso y ofensivo!!;carmenn.perezz.71;Soutien;🆗;"""Irrespectueux et offensant !!"""
😍;carol.tff;Soutien;🆗;Visage amoureux (soutien).
Magnifique Barbara ! 👏 Cette cérémonie m'aura permis de te découvrir et c'est une très bonne chose ! 😁 Force et Amour pour toi 💕;carole_drl;Soutien;🆗;
🤍;caroloparisienne;Soutien;🆗;
❤️🔥👑;carotte2605;Soutien;🆗;
♥️♥️♥️♥️♥️♥️♥️♥️;carrozbertrand;Soutien;🆗;Cœurs (soutien).
❤️❤️❤️👑👑👑;cartoux;Soutiens;🆗;—
Force et soutien QUEEN ❤️🔥;casey.cartman;Soutien;🆗;Force et soutien Reine.
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️;casimirmad;Soutien;🆗;-
Puqi mai ngana;castio.ludji;Harcèlement, Vulgarité;🔴;
Oink;catalin.ingeaua;Discrimination (grossophobie);🔴;Groin
❤️❤️❤️❤️❤️❤️❤️❤️;cathouche;Soutien;🆗;N/A
All the love ♥️🔥;cbvlola;Soutien;🆗;"""Tout mon amour."""
♥️♥️♥️;cdricf;Soutien;🆗;
superbe dans cette tenue !!!!!!!!!!!!!;ceciestmaxou;Soutien;🆗;N/A
❤️❤️❤️❤️❤️❤️👑;cecile_g.n;Soutien;🆗;N/A
JESUS IS KING JESUS WINS;cecilie;Religion;🆗;Jésus est roi, Jésus gagne.
C'était magique !! Merci pour ce message d'amour, de compassion. Les blasphémateurs se sont ceux qui n'ont que haine au coeur. Tu es l'opposée. Tu es du côté de l'amour et donc, pour moi qui suis chrétien, du côté du message du Christ. ❤️ 👑;cedric.destailleur;Soutien, Religion;🆗;N/A
Dieu est au dessus des gens qui blasphèmes 👑❤️;cedric_vanderbeck;Religion;🆗;"""Dieu est au-dessus des blasphémateurs."""
Queen 👑🤩;ceinwonderland;Soutien;🆗;
💩💩💩💩💩;celi.simon;Insulte;🆗;N/A
♥️♥️♥️👑;cema_nazare;Soutien;🆗;N/A
C’était incroyable !!! Toujours au top et merveilleuse !! 😘😘;cerdic_s;Soutiens;🆗;It was incredible !!! Always on top and wonderful !! 😘😘
❤️;cha_pitre_510;Soutiens;🆗;—
Barbara je t’aime ❤️ courage face au harcèlement, on est derrière toi ❤️❤️❤️;cha_wette;Soutien;🆗;N/A
Unite people by mocking Jesus? There is no love in you;chad_square1;Religion;🆗;Unir les gens en se moquant de Jésus ? Il n'y a pas d'amour en toi.
QUEEN 💜;charlenefyl;Soutien;🆗;-
Mais on adore ♥️ J adore 💓 tout simplement belle et géniale 🙌👍👍👍😘😘😘;charles_zebulon;Soutien;🆗;N/A
🫶🏼👏❤️👏❤️‍🔥👏❤️👏❤️🫶🏼;charleschuckbesson;Soutien;🆗;
♥️♥️♥️♥️;charlottechambaz;Soutien;🆗;N/A
You’ve got to be joking… what an absolute disaster this gig was for you. Need a new agent love 😂😂;chasbain;Dénigrement;🆗;Tu plaisantes... quel désastre absolu ce spectacle a été pour toi. Il te faut un nouvel agent, ma chère 😂😂
This picture was taken 3 miles back.;childovmusic_;Insulte;🆗;Cette photo a été prise 5 km plus loin (référence sarcastique à la taille).
Je n’ai pas compris les messages de gens qui sont fiers d’elle… Vous êtes fiers de quoi au juste ?;chin0uf;Harcèlement;🆗;N/A
👑👑👑👑👑👑👑♥️;chlo_sv;Soutien;🆗;-
Que vergüenza los juegos olímpicos;chmariajimena;Insulte;🆗;Quelle honte pour les Jeux Olympiques.
♥️👑;chriquette_nb;Soutien;🆗;N/A
You’ll be cry in the end when Jesus will come back, but it will be too late for you!!!!!;chris.783.23;Harcèlement, Religion, Menace;🔴;
DJ Diabetes.;chrisde431;Grossophobie;🆗;-
You need Jesus;christianbieber99;Religion;🆗;Tu as besoin de Jésus.
Satanist;christiesaad;Religion, Haine;🔴;
Bravo et mille mercis. ❤️❤️❤️ Allez vous publier la playlist de votre set? 🎉❤️😘😘😘;christophenice;Soutien;🆗;N/A
Proud of being Grossophobic...;chronictranquility;Grossophobie;🆗;Fier d'être grossophobe, je n'aime pas du tout les choses grossières.
Elle est immonde sous tout ses aspect cette non binaire;chuppamipoya;Grossophobie, Transphobie;🔴;
Love love love ur work!!;ciarepresentacoes;Soutien;🆗;J'adore ton travail !!
Arderás en el infierno.;ciruelo888;Religion, Menace;🔴;Tu brûleras en enfer.
Vous étiez magnifique...;cjustme52;Soutien;🆗;
🤩💐💪;claire.servy.9;Soutien;🆗;N/A
🇧🇷 Le Brésil est avec vous!!!...;clem_leonardo;Soutien;🆗;-
👑❤️👑 #merci;cline_glt;Soutien;🆗;N/A
Saudações do Brasil 👏🏻👏🏻👏🏻🇧🇷;clodovil.realista;Soutiens;🆗;"""Salutations du Brésil 👏🏻👏🏻👏🏻🇧🇷"""
What the hell even is that;coach_jnew;Insulte;🆗;Qu'est-ce que c'est que ça ?
👑;cocobdfghijklmn;Soutiens;🆗;—
Perish juda ✋️;codrutz_cristian;Antisémitisme;🔴;Péris, juif
Que de beauté.es! Merci.esi!! ✨💌 ✨💌;complexityandmatter;Soutiens;🆗;What beauty! Thank you!! ✨💌 ✨💌
Keep shining ☀️♥️;coralie.marabelle;Soutien;🆗;
Splendide;corinne.pnt;Soutien;🆗;Splendide.
👑👑👑👑👑👑;coucoulesgoudous;Soutien;🆗;-
❤️👑❤️;courcoralie;Soutien;🆗;
Dislike;craig21297;Insulte;🆗;Je n'aime pas.
❤️👑🔥♥️;criadoguigui;Soutien;🆗;N/A
🔥;cristianareali;🆗;—;—
Love !!! Bravo et 1000 mercis d’etre toi ♥️👑🔥❤️;csahuquet;Soutien;🆗;Bravo et merci d'être toi.
Longue vie à @barbarabutch et f.ck the haters!😉😘❤️;cstephane74;Soutien;🆗;N/A
Magnifique 🤩 je rêve...;cyrilbel;Soutien;🆗;
💩💩💩💩;d.eferson;Insulte;🆗;-
Magnifique. Superbe😍😍😍😍;d.vdb1450;Soutien;🆗;Magnifique, superbe.
🔥🔥🔥🔥🔥🔥 in hell.;dabbindad__;Religion, Violence;🔴;En enfer.
Sit yo big ahh down somewhere;daddy_burg;Grossophobie;🆗;Va t'asseoir avec ton gros derrière.
💀🧌🐘🐋 just find you in emojis.;dafasava;Grossophobie;🆗;-
The devil will lost. Jesus is love! He loves you and all these people who don’t believe in His power. Trust. Nobody will love you as God! ❤️👑 You are His daughter like I'm.;danielagiuliatti;Religion;🆗;"""Le diable va perdre. Jésus est amour !"""
Bravo pour votre prestation, vs étiez solaire♥️♥️😍;daniki31;Soutien;🆗;
Disgusting;danj_hagerty;Harcèlement;🔴;
Busca de Cristo no blasfemar anuestro señor Jesucristo;dannybarber_00;Religion;🆗;"""Cherche le Christ et ne blasphème pas notre Seigneur Jésus-Christ"""
LOOOOOOOOOOOOL this has got to be one of the funniest joke of the year;darealbuccaneer;Critique, Moquerie;🆗;"""C'est l'une des blagues les plus drôles de l'année."""
You certainly cant walk not to say on water. Mocking Jesus and Christianity will get you very far. You will be judged heavily to the place wher you are going. The world is changing and there will be a place for devil worshipers like you. :) Soon enough you will reap what you saw.;daskalovkk;Intimidation, Religion;🔴;"""Vous ne pouvez certainement pas marcher, encore moins marcher sur l'eau. Se moquer de Jésus et du christianisme vous mènera loin. Vous serez jugé lourdement là où vous allez."""
„love“ activist, wheres the love for christians?;davidddddd__;Religion;🆗;"""Où est l'amour pour les chrétiens ?"""
Les commentaires des fachos...;deb_ee_deb;Soutien, Harcèlement;🆗;Les commentaires des extrémistes cathos et homophobes sont à vomir.
Magnifique 🤩;delazieres;Soutien;🆗;
Tu étais magnifique aux JO. Merci.;delph_inc;Soutien;🆗;N/A
Merci à vous de tenir bon et de vous battre, avec vous;delphine.schw;Soutien;🆗;N/A
Se moquer de Jésus et de tous les catholiques est un blasphème impardonnable ! Dieu miséricordieux a pitié de vous 💔💔;deniserivera;Intimidation, Religion;🔴;N/A
Did you eat all of the apostles?;denniswalker9;Grossophobie, Harcèlement, Religion;🔴;"""As-tu mangé tous les apôtres ?"""
You gonna burn in hell if you won't make apologize video;deusvultcrussaider81;Menace, Religion;🔴;Tu vas brûler en enfer si tu ne fais pas une vidéo d'excuses.
مقز زة;diana_a._matta;Religion;🔴;"""Dégoûtant"" (Arabe)."
♥️👏🔥;dianejblc;Soutiens;🆗;—
Veo un excremento con una corona encima, espero que su burla lo pague muy caro.;diegoarias3578;Harcèlement, Grossophobie;🔴;"""Je vois un excrément avec une couronne dessus, j’espère que ta moquerie te coûtera cher."""
Uma dica faz um vídeo desses com Maomé pra vermos o que aconteceria, duvido;diegobertellioficial;Incitation à la haine religieuse;🔴;"""Fais la même chose avec Mahomet, et on verra ce qui se passerait."" (Portugais)"
Go to a gym before u get a heart attack;dilan_geo23;Harcèlement, Grossophobie;🔴;"""Va à la salle avant d’avoir une crise cardiaque."""
Mais quelle plaisir de te voir heureuse et de nous avoir fait danser comme ça... bravo pour les JO 👏👏👏👏;disconico69;Soutien;🆗;
Viva Cristo risorto 👑;dj_alpha_;Religion;🆗;
..et tu oublies : MERCI à toi ❤️ Tu es belle et talentueuse, ne l'oublie pas 🔥❤️;djizeusss_;Soutien;🆗;
👏👏👏;djmasterbafunk;Soutien;🆗;N/A
Burguer king;dollar_castro_sv;Grossophobie;🔴;"""Roi du burger"""
Filthy job. Repent;domdancam;Harcèlement, Religion;🔴;"""Travail dégoûtant. Repens-toi."""
No entiendo, las olimpiadas es deporte...agilidad, performance, etc;dorisft22;Harcèlement;🆗;"""Je ne comprends pas, les Jeux olympiques, c'est du sport... agilité, performance, etc."""
❤️🙏;doubithepeanut;Soutien;🆗;
👑🔥👏;dovalentin;Soutien;🆗;N/A
Como alguém faz uma abertura de merda desse jeito...;dr.edson.ferreira.1972;Insulte;🆗;Comment quelqu'un peut faire une ouverture aussi merdique que ça ? Heureusement que je ne l'ai pas vue, j'écris après avoir vu les photos de cette merde.
Don’t let the hateful, uneducated...;dragonflycricket;Soutien;🆗;Ne laisse pas les gens haineux, incultes, te démoraliser.
The world will not tolerate their actions...;dralexzsilverman_yo;Menace;🔴;Le monde ne tolérera pas leurs actions, ils devront payer.
Shame on you;ds_sanz;Harcèlement;🔴;
Stay strong beautiful lady, hate will not win! 👏;durtybearclothing;Soutien;🆗;Reste forte, belle dame, la haine ne gagnera pas.
♥️♥️♥️;dvd_tly;Soutien;🆗;-
Un grand bravo pour cette performance !! LOVE AND PROUD;dvdclemence;Soutien;🆗;-
👑;dyhdooh1315;Soutien;🆗;N/A
I would argue that you are the exact opposite...;eabeyta30;Insulte;🆗;Tu es exactement l'opposé de ce que tu as dit.
Vocês podem zombar da religião das pessoas e ninguém pode zombar de vocês. Você que deveria ser presa.;edgaiao;Religion, Harcèlement;🔴;"""Vous pouvez vous moquer de la religion des gens mais personne ne peut se moquer de vous. C'est vous qui devriez être en prison."""
O pior é eles acharem que estão certos. Queria que fosse com os muçulmanos. Aí ela ia ver o que é bom para a tosse.;edgaiao;Religion, Menace;🔴;"""Le pire c'est qu'ils pensent qu'ils ont raison. J'aimerais que ça se passe avec les musulmans, là elle verrait ce qui est bon."""
Multiplica el pan... y se lo come;edgar.coeto.39;Grossophobie, Harcèlement, Religion;🔴;"""Elle a multiplié le pain... et l’a mangé."""
"Cuando dijo """" Tomad, comed; esto es mi cuerpo """" ... eso alcanzo para todo el pueblo, lamentablemente fallecieron por exceso de grasa trans y diabetes 😂";edgar.coeto.39;Harcèlement, Grossophobie, Religion;🔴;"""Quand elle a dit 'Prenez, mangez ; ceci est mon corps', il y en a eu assez pour tout le peuple, mais malheureusement, ils sont morts de graisses trans et de diabète."""
